Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
ARITON LAGOON,01000209001,"$255,000",,,,,,,"$255,000",.03,.1,.1,350,,422,,350,772,,251,,772,AL0068551,Individual Permit,"ARITON, TOWN OF",Dale,Pea,03140202,2nd Congressional District,AL,4,MAP
Blackwater WWTP,01000210000,"$6,956,148","$2,981,206","$993,735","$8,943,619",,,,"$19,874,708",.04,.04,20.1,"9,500",,,,"9,500","17,000",,,,"17,000",,,Blackwater WWTP,Baldwin,Perdido,03140106,1st Congressional District,AL,4,MAP
ASHLAND WWTP,01000211001,,,,,,,,,.575,1.07,1.07,"1,114",,851,,"1,114","1,965",,705,,"1,965",AL0020141,Individual Permit,CITY OF ASHLAND,Clay,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
Blount County West Lagoon,01000212000,"$1,592,000","$1,800,000","$448,000","$6,416,050",,,,"$10,256,050",.055,.1,.15,30,,,,30,400,,,,400,AL0076261,Individual Permit,Blount County Water Authority,Blount,Locust,03160111,4th Congressional District,AL,4,MAP
ASHVILLE LAGOON,01000212001,,,,"$851,257",,,,"$851,257",.14,.33,.33,"1,017",,"1,243",,"1,017","2,260",,"1,040",,"2,260",AL0023302,Individual Permit,TOWN OF ASHVILLE,St. Clair,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
ATMORE WWTP,01000213001,,"$11,070,060","$19,907,600","$503,836",,,,"$31,481,496",1.21,2,2,"6,832",,843,,"6,832","7,676",,719,,"7,676",AL0049557,Individual Permit,ATMORE UTILITIES BOARD,Escambia,Perdido,03140106,1st Congressional District,AL,4,MAP
BERRY WWTP,01000221001,,,,,,,,,.06,.15,.15,"1,189",,888,,"1,189","1,189",,888,,"1,189",AL0023922,Individual Permit,TOWN OF BERRY,Fayette,Upper Black Warrior,03160112,4th Congressional District,AL,4,MAP
BLOUNTSVILLE HCR SYSTEM,01000224001,"$940,479",,"$3,405,807",,,,,"$4,346,286",.43,.275,.275,550,,"1,218",,550,"1,768",,"1,218",,"1,768",AL0053643,Individual Permit,BLOUNTSVILLE UTILITY BOARD,Blount,Mulberry,03160109,4th Congressional District,AL,4,MAP
BRANTLEY LAGOON,01000230001,"$398,915","$39,852","$398,522","$398,522",,,,"$1,235,811",.06,.2,.2,709,,211,,709,920,,121,,920,AL0022641,Individual Permit,"BRANTLEY, TOWN OF",Crenshaw,Upper Conecuh,03140301,2nd Congressional District,AL,4,MAP
BRIDGEPORT LAGOON,01000231001,"$242,000",,"$1,100,000","$850,000",,,,"$2,192,000",.67,1,1,"2,046",,682,,"2,046","2,728",,494,,"2,728",AL0020991,Individual Permit,BRIDGEPORT UTILITIES BOARD,Jackson,Guntersville Lake,06030001,5th Congressional District,AL,4,MAP
BRILLIANT WWTP,01000232001,"$126,527","$1,291,095","$109,743","$757,772",,,,"$2,285,137",.07,.05,.1,146,,617,,146,762,,550,,762,AL0057169,Individual Permit,TOWN OF BRILLIANT,Marion,Sipsey,03160107,4th Congressional District,AL,4,MAP
BRUNDIDGE WWTP,01000233001,"$1,771,210",,"$636,528",,,,,"$2,407,738",.31,.6,.6,"2,270",,,,"2,270","2,341",,,,"2,341",AL0044105,Individual Permit,"BRUNDIDGE, CITY OF",Pike,Pea,03140202,2nd Congressional District,AL,4,MAP
BUTLER WWTP,01000234001,,,"$540,220",,,,,"$540,220",.24,.417,.417,"1,845",,107,,"1,845","1,952",,62,,"1,952",AL0050211,Individual Permit,BUTLER UTILITIES BOARD,Choctaw,Middle Tombigbee-Chickasaw,03160201,7th Congressional District,AL,4,MAP
CAMDEN SOUTH WWTP,01000235001,"$470,239","$470,239","$3,761,916",,,,,"$4,702,394",.19,.56,.56,"2,116",,140,,"2,116","2,257",,108,,"2,257",AL0023680,Individual Permit,"CAMDEN, TOWN OF",Wilcox,Middle Alabama,03150203,7th Congressional District,AL,4,MAP
CAMDEN NORTH WWTP,01000235003,"$282,144","$282,144","$2,821,436",,,,,"$3,385,724",.09,.22,.22,"2,117",,140,,"2,117","2,257",,95,,"2,257",AL0023701,Individual Permit,"CAMDEN, TOWN OF",Wilcox,Middle Alabama,03150203,7th Congressional District,AL,4,MAP
CENTRE LAGOON,01000239001,,"$10,250,000","$3,368,300","$13,756,250",,,,"$27,374,550",.51,1,3,"2,268",,"1,179",,"2,268","3,500",,61,,"3,500",AL0062723,Individual Permit,Water Works & Sewer Board of Town of Centre,Cherokee,Upper Coosa,03150105,3rd Congressional District,AL,4,MAP
CHEROKEE WWTP,01000240001,,,"$390,481",,,,,"$390,481",.11,.27,.27,860,,378,,860,"1,237",,339,,"1,237",AL0022594,Individual Permit,"CHEROKEE, TOWN OF",Colbert,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
CLANTON WALNUT CREEK WWTP,01000241002,"$2,000,000","$2,000,000","$2,000,000",,,,,"$6,000,000",1.408,2.25,2.25,"7,020",,781,,"7,020","7,800",,514,,"7,800",AL0054631,Individual Permit,"CLANTON, CITY OF, WSGB",Chilton,Lower Coosa,03150107,6th Congressional District,AL,4,MAP
CLAYTON WWTP,01000242003,,"$2,640,261",,,,,,"$2,640,261",.312,.4,1,"1,018",,458,,"1,018","1,475",,380,,"1,475",AL0060461,Individual Permit,"CLAYTON, WSB",Barbour,Pea,03140202,2nd Congressional District,AL,4,MAP
Cleveland WWTP,01000243001,"$1,800,000","$900,000","$198,075","$455,775",,,,"$3,353,850",.066,.15,.3,"1,020",,,,"1,020","1,270",,,,"1,270",,,"CLEVELAND, TOWN OF",Blount,Locust,03160111,4th Congressional District,AL,4,MAP
CLIO LAGOON,01000244001,"$747,229",,,,,,,"$747,229",.203,.4,.4,"2,206",,,,"2,206","2,206",,,,"2,206",AL0067181,Individual Permit,"CLIO, TOWN OF",Barbour,Pea,03140202,2nd Congressional District,AL,4,MAP
COLUMBIA LAGOON,01000247001,,,"$362,713","$393,519",,,,"$756,232",.13,.18,.18,800,,,,800,875,,,,875,AL0058335,Individual Permit,"COLUMBIA, CITY OF",Houston,Lower Chattahoochee,03130004,2nd Congressional District,AL,4,MAP
COTTONWOOD LAGOON,01000248001,,,,,,,,,.06,.155,.155,773,,397,,773,"1,170",,343,,"1,170",AL0024295,Individual Permit,"COTTONWOOD, TN OF",Houston,Chipola,03130012,2nd Congressional District,AL,4,MAP
COURTLAND WWTP,01000250001,,,"$458,033",,,,,"$458,033",.09,.15,.15,626,,143,,626,769,,102,,769,AL0048585,Individual Permit,"COURTLAND, TOWN OF",Lawrence,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
CROSSVILLE INDUSTRIAL PARK WWTP,01000253001,"$1,425,001",,"$273,385","$2,934,967",,,,"$4,633,353",.02,.04,.04,177,,,,177,293,,,,293,AL0061549,Individual Permit,"CROSSVILLE, TOWN OF",DeKalb,Guntersville Lake,06030001,4th Congressional District,AL,4,MAP
CUBA WWTP,01000254001,"$629,705",,"$77,607","$1,598,990",,,,"$2,306,302",.019,.06,.06,270,,92,,270,363,,3,,363,AL0064386,Individual Permit,"CUBA, TOWN OF",Sumter,Sucarnoochee,03160202,7th Congressional District,AL,4,MAP
DADEVILLE WWTP,01000255002,,"$745,301","$745,301",,,,,"$1,490,602",.272,.42,.42,"1,847",,"1,371",,"1,847","1,940",,"1,440",,"1,940",AL0063797,Individual Permit,"DADEVILLE, CITY OF",Tallapoosa,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
DALEVILLE SE LAGOON,01000256001,,"$2,981,206",,"$94,048",,,,"$3,075,254",.25,.375,.5,"3,522",,,,"3,522","4,000",,,,"4,000",AL0050261,Individual Permit,DALEVILLE WATER & SEWER BOARD,Dale,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
DALEVILLE WESTSIDE WWTP,01000256004,,"$1,987,471","$164,584",,,,,"$2,152,055",.11,.325,.325,"3,522",309,,,"3,831","4,000","1,544",,,"5,544",AL0062448,Individual Permit,DALEVILLE WATER & SEWER BOARD,Dale,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
DOZIER LAGOON,01000260001,"$41,381",,"$9,405","$391,880",,,,"$442,666",.034,.06,.06,357,,,,357,370,,,,370,AL0060518,Individual Permit,"DOZIER, TOWN OF",Crenshaw,Upper Conecuh,03140301,2nd Congressional District,AL,4,MAP
EAST BREWTON WWTP,01000262001,"$5,465,545",,"$4,724,616",,,,,"$10,190,161",.227,.3,.5,"1,497",,999,,"1,497","2,496",,744,,"2,496",AL0022608,Individual Permit,"EAST BREWTON, WSB",Escambia,Lower Conecuh,03140304,1st Congressional District,AL,4,MAP
ELBA LAGOON,01000264001,,,"$436,276","$142,984",,,,"$579,260",.278,.6,.6,"3,737",,448,,"3,737","4,185",,394,,"4,185",AL0020940,Individual Permit,"ELBA, CITY OF",Coffee,Pea,03140202,2nd Congressional District,AL,4,MAP
EPES WWTP,01000265001,,,"$1,351,475","$1,285,936",,,,"$2,637,411",.013,.028,.028,186,,20,,186,206,,13,,206,AL0062456,Individual Permit,"EPES, TOWN OF",Sumter,Middle Tombigbee-Lubbub,03160106,7th Congressional District,AL,4,MAP
EUFAULA WWTP,01000267002,"$993,735",,"$894,362","$1,391,230",,,,"$3,279,327",1.5,2.7,2.7,"9,666",,,,"9,666","13,908",,,,"13,908",AL0061671,Individual Permit,"EUFAULA, CITY OF, WW&S",Barbour,Middle Chattahoochee-Lake Harding,03130002,2nd Congressional District,AL,4,MAP
EVERGREEN LAGOON,01000270001,"$221,280",,"$442,560","$2,012,101",,,,"$2,675,941",.461,1.5,1.5,"2,889",,741,,"2,889","3,630",,666,,"3,630",AL0047503,Individual Permit,"EVERGREEN, CITY OF",Conecuh,Lower Conecuh,03140304,2nd Congressional District,AL,4,MAP
FALKVILLE HCR LAGOON,01000272001,,,,,,,,,.15,.27,.27,922,,281,,922,"1,202",,226,,"1,202",AL0021113,Individual Permit,"FALKVILLE, TOWN OF",Morgan,Wheeler Lake,06030002,4th Congressional District,AL,4,MAP
FLORALA/LOCKHART WWTP,01000276002,"$943,716",,"$1,385,844","$591,593",,,,"$2,921,153",.288,.35,.35,527,"3,000",5,,"3,527",625,"3,000",2,,"3,625",AL0031925,Individual Permit,TOWN OF LOCKHART & FLORALA WW&SB,Covington,Yellow,03140103,2nd Congressional District,AL,4,MAP
GENEVA WWTP,01000285001,"$496,868",,"$8,069,132","$553,200",,,,"$9,119,200",.5,1.215,1.215,"3,642",,746,,"3,642","4,388",,547,,"4,388",AL0020273,Individual Permit,"GENEVA, CITY OF, WSB",Geneva,Pea,03140202,2nd Congressional District,AL,4,MAP
GEORGIANA WWTP,01000286001,"$74,531",,"$2,297,503",,,,,"$2,372,034",.125,.3,.3,"2,050",,388,,"2,050","2,100",,391,,"2,100",AL0043532,Individual Permit,"GEORGIANA, CITY OF",Butler,Sepulga,03140303,2nd Congressional District,AL,4,MAP
GOOD HOPE WWTP,01000291001,,,,,,,,,.14,.2,.2,247,,"1,718",,247,"1,966",,"1,489",,"1,966",AL0058343,Individual Permit,"GOOD HOPE, TOWN OF",Cullman,Sipsey Fork,03160110,4th Congressional District,AL,4,MAP
GORDO WWTP,01000292001,,"$582,054","$355,884","$1,197,457",,,,"$2,135,395",.186,.271,.271,"1,156",,522,,"1,156","1,677",,471,,"1,677",AL0061981,Individual Permit,GORDO WWTP,Pickens,Sipsey,03160107,4th Congressional District,AL,4,MAP
GRANT WWTP,01000295001,"$630,000",,,"$4,696,320",,,,"$5,326,320",,,.26,,,"1,875",,,"1,800",,50,,"1,800",AL0061905,Individual Permit,"GRANT, TOWN OF",Marshall,Wheeler Lake,06030002,4th Congressional District,AL,4,MAP
GREENVILLE WWTP,01000296001,"$3,131,221","$2,351,197","$2,980,845","$4,495,159",,,,"$12,958,422",1.26,2,2,"6,773",,456,,"6,773","7,228",,413,,"7,228",AL0020532,Individual Permit,GREENVILLE WATERWORKS AND SEWER BOARD,Butler,Sepulga,03140303,2nd Congressional District,AL,4,MAP
Donaldson WWTP (DOC),01000296015,"$2,821,437","$940,479","$470,239","$5,172,634",,,,"$9,404,789",.28,.35,1,"1,865",,,,"1,865","15,275",,,,"15,275",AL0045560,Individual Permit,DONALDSON WWTP (DOC),Jefferson,Upper Black Warrior,03160112,7th Congressional District,AL,4,MAP
GROVE HILL JAMES CREEK WWTP,01000298001,"$298,121","$375,275","$2,054,287","$957,961",,,,"$3,685,644",.15,.3,.3,"1,566",,73,,"1,566","1,666",,187,,"1,666",AL0026891,Individual Permit,"GROVE HILL, TOWN OF",Clarke,Lower Tombigbee,03160203,7th Congressional District,AL,4,MAP
GUIN BEAVER CREEK LAGOON,01000299001,"$596,241",,"$1,192,482","$2,124,109",,,,"$3,912,832",.36,.472,.472,"1,625",,"1,000",,"1,625","2,200",,"1,000",,"2,200",AL0052272,Individual Permit,Guin Water and Sewer Board,Marion,Buttahatchee,03160103,4th Congressional District,AL,4,MAP
GUNTERSVILLE WWTP,01000300001,"$3,545,284",,"$2,869,992",,,,,"$6,415,276",2.84,4.5,4.5,"6,478",,918,,"6,478","7,395",,778,,"7,395",AL0020150,Individual Permit,"GUNTERSVILLE, WW&SB",Marshall,Guntersville Lake,06030001,4th Congressional District,AL,4,MAP
HALEYVILLE SOUTH WWTP,01000303001,"$1,352,910",,"$2,874,444","$2,961,136",,,,"$7,188,490",.57,.8,.8,"2,857",,"1,324",,"2,857","4,182",,"1,200",,"4,182",AL0059455,Individual Permit,HALEYVILLE WATERWORKS AND SEWER BOARD,Marion,Buttahatchee,03160103,4th Congressional District,AL,4,MAP
HAMILTON WWTP,01000304001,,"$553,503","$2,767,515","$5,756,431",,,,"$9,077,449",.63,2.64,2.64,"4,072",,"2,715",,"4,072","6,786",,"2,569",,"6,786",AL0048372,Individual Permit,CITY OF HAMILTON,Marion,Buttahatchee,03160103,4th Congressional District,AL,4,MAP
HANCEVILLE WWTP,01000305001,,,,,,,,,.54,.57,.57,"2,487",,463,,"2,487","2,951",,383,,"2,951",AL0057029,Individual Permit,"HANCEVILLE, TOWN OF",Cullman,Mulberry,03160109,4th Congressional District,AL,4,MAP
HAYNEVILLE HCR LAGOON,01000307001,,,"$303,089","$1,311,731",,,,"$1,614,820",.015,.2,.2,500,,,,500,700,,,,700,AL0050113,Individual Permit,"HAYNEVILLE, TOWN OF",Lowndes,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
HEADLAND SOUTH WWTP,01000308001,,,"$896,184","$218,104",,,,"$1,114,288",.29,.5,.5,"3,178",,346,,"3,178","3,523",,284,,"3,523",AL0027014,Individual Permit,"HEADLAND, CITY OF",Henry,Lower Chattahoochee,03130004,2nd Congressional District,AL,4,MAP
HEFLIN LAGOON,01000310001,,,,,,,,,.36,.6,.6,"1,717",,"1,285",,"1,717","3,002",,"1,285",,"3,002",AL0056146,Individual Permit,"HEFLIN, CITY OF, WW&SD",Cleburne,Upper Tallapoosa,03150108,3rd Congressional District,AL,4,MAP
HENAGAR WWTP,01000311001,,,,"$983,897",,,,"$983,897",.047,.15,.15,158,,"2,429",,158,253,,"2,376",,253,AL0056057,Individual Permit,TOWN OF HENAGAR,DeKalb,Guntersville Lake,06030001,4th Congressional District,AL,4,MAP
MOODY HWY 411 WWTP (Moody),01000312001,"$1,410,718","$1,410,718","$1,410,718","$1,410,718",,,,"$5,642,872",.26,.5,1,"11,000",,,,"11,000","25,000",,,,"25,000",AL0055255,Individual Permit,Moody Hwy 411 WWTP,St. Clair,Cahaba,03150202,6th Congressional District,AL,4,MAP
HOLLY POND WWTP,01000316001,"$500,147","$325,282","$375,963","$513,697",,,,"$1,715,089",.06,.09,.09,276,,418,,276,645,,341,,645,AL0050768,Individual Permit,TOWN OF HOLLY POND,Cullman,Mulberry,03160109,4th Congressional District,AL,4,MAP
HOLLYWOOD LAGOON,01000317001,"$152,250",,"$424,500","$2,844,750",,,,"$3,421,500",.04,.125,.125,280,,,,280,950,,,,950,AL0062944,Individual Permit,Jackson County Water Authority,Jackson,Guntersville Lake,06030001,5th Congressional District,AL,4,MAP
JACKSON LAGOON,01000318001,"$1,773,960",,"$1,169,433",,,,,"$2,943,393",.5,.83,.83,"4,200",,"1,279",,"4,200","6,000",,"1,006",,"6,000",AL0020869,Individual Permit,CITY OF JACKSON WATER AND SEWER BOARD,Clarke,Lower Tombigbee,03160203,7th Congressional District,AL,4,MAP
JACKSONVILLE WWTP,01000319001,"$2,111,000","$17,562,000","$10,126,295","$2,875,000",,,,"$32,674,295",1.93,3.5,3.5,"10,283",,,,"10,283","10,580",,,,"10,580",AL0022586,Individual Permit,"JACKSONVILLE, WGSB",Calhoun,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
CHEROKEE COUNTY WWTP,01000325001,"$83,139",,"$56,768","$5,640,164",,,,"$5,780,071",.065,.25,.25,210,,399,,210,215,,122,,215,AL0057592,Individual Permit,"LEESBURG, TOWN OF",Cherokee,Upper Coosa,03150105,3rd Congressional District,AL,4,MAP
LEIGHTON WWTP,01000326001,"$3,800,900","$2,000,000","$7,310,340","$8,592,200",,,,"$21,703,440",.27,.4,.4,783,,65,,783,849,,24,,849,AL0071901,Individual Permit,"LEIGHTON, TOWN OF",Colbert,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
East Limestone WWTP,01000329001,"$3,300,000","$4,180,000","$1,163,680","$4,735,000",,,,"$13,378,680",.021,.08,.08,"1,200",,434,,"1,200","1,650",,230,,"1,650",,,Limestone County Water and Sewer Authority,Limestone,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
LINCOLN SOUTH WWTP,01000330001,,"$1,876,377",,"$430,551",,,,"$2,306,928",.75,2.5,2.5,738,,"3,840",,738,"4,577",,"3,698",,"4,577",AL0054356,Individual Permit,"LINCOLN, TOWN OF",Talladega,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
LINDEN HCR LAGOON,01000331001,,,,"$579,144",,,,"$579,144",.63,.45,.45,"2,228",,196,,"2,228","2,424",,138,,"2,424",AL0045683,Individual Permit,"LINDEN, CITY OF, UB",Marengo,Middle Tombigbee-Chickasaw,03160201,7th Congressional District,AL,4,MAP
NORTH CHOCTAW WWTP,01000332001,"$690,374",,,"$1,146,330",,,,"$1,836,704",,,.096,,,"1,306",,,456,,394,,456,AL0073270,Individual Permit,NORTH CHOCTAW WATER & SEWER AUTHORITY,Choctaw,Middle Tombigbee-Chickasaw,03160201,7th Congressional District,AL,4,MAP
LITTLEVILLE WWTP,01000334001,,,,,,,,,.08,.172,.172,543,,436,,543,978,,351,,978,AL0056278,Individual Permit,"LITTLEVILLE, TOWN OF",Colbert,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
LIVINGSTON MAIN LAGOON,01000335001,,"$554,340","$341,229",,,,,"$895,569",.51,.8,.63,"3,109",,189,,"3,109","3,297",,133,,"3,297",AL0023256,Individual Permit,"LIVINGSTON, UB",Sumter,Sucarnoochee,03160202,7th Congressional District,AL,4,MAP
LOUISVILLE LAGOON,01000336001,,,,"$1,557,645",,,,"$1,557,645",.04,.1,.1,306,,,,306,612,,,,612,AL0070980,Individual Permit,"LOUISVILLE, TOWN OF",Barbour,Middle Chattahooche,03130003,2nd Congressional District,AL,4,MAP
LUVERNE LAGOON,01000338001,,,"$1,084,239","$1,278,907",,,,"$2,363,146",.35,.8,.8,"2,395",,24,,"2,395","2,635",,17,,"2,635",AL0060534,Individual Permit,"LUVERNE, CITY OF",Crenshaw,Patsaliga,03140302,2nd Congressional District,AL,4,MAP
MAPLESVILLE WWTP,01000343001,,,,"$1,448,084",,,,"$1,448,084",.012,.075,.075,270,,414,,270,423,,262,,423,AL0070858,Individual Permit,UTILITIES BOARD OF THE TOWN OF MAPLESVILLE,Chilton,Upper Alabama,03150201,6th Congressional District,AL,4,MAP
MIDWAY LAND APPLICATION,01000345001,,,"$352,679",,,,,"$352,679",.08,.15,.15,460,,,,460,500,,,,500,AL0070726,Individual Permit,"MIDWAY, TOWN OF",Bullock,Middle Chattahooche,03130003,2nd Congressional District,AL,4,MAP
MILLPORT LAGOON,01000347001,"$399,733",,"$778,891",,,,"$283,627","$1,462,251",.23,.21,.21,870,,289,,870,"1,160",,289,,"1,160",AL0049115,Individual Permit,"MILLPORT, TOWN OF",Lamar,Luxapallila,03160105,4th Congressional District,AL,4,MAP
MILLRY LAGOON,01000348001,"$2,012,315",,,,,,,"$2,012,315",.04,.085,.085,208,,406,,208,615,,406,,615,AL0051144,Individual Permit,"MILLRY, TOWN OF",Washington,Lower Tombigbee,03160203,1st Congressional District,AL,4,MAP
MONROEVILLE DOUBLE BRANCH WWTP,01000349001,,"$496,868","$1,143,484","$397,494",,,,"$2,037,846",.74,1,1,"6,200",,"1,372",,"6,200","6,400",,257,,"6,400",AL0027782,Individual Permit,CITY OF MONROEVILLE,Monroe,Lower Alabama,03150204,1st Congressional District,AL,4,MAP
MONROEVILLE HUDSON BRANCH WWTP,01000349002,,"$198,747","$2,439,085","$496,868",,,,"$3,134,700",1.06,2,2,800,,"1,372",,800,800,,129,,800,AL0022136,Individual Permit,CITY OF MONROEVILLE,Monroe,Lower Alabama,03150204,1st Congressional District,AL,4,MAP
MUSCLE SHOALS WWTP,01000350001,"$1,697,271","$10,542,179","$7,692,278","$3,326,024",,,,"$23,257,752",2,2,3.04,"13,064",,"1,225",,"13,064","20,600",,"1,104",,"20,600",AL0024180,Individual Permit,UTILITIES BOARD OF MUSCLE SHOALS,Colbert,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
NEW BROCKTON WWTP,01000353001,"$188,096","$470,239","$586,859","$3,286,033",,,,"$4,531,227",.08,.176,.176,587,,664,,587,"1,250",,566,,"1,250",AL0055875,Individual Permit,"NEW BROCKTON, TOWN OF",Coffee,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
Sumiton Lagoon,01000355001,"$867,824",,"$826,544","$713,023",,,,"$2,407,391",.3,.3,.3,835,,,,835,"1,952",,,,"1,952",AL0076244,Individual Permit,SUMITON LAGOON,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
NOTASULGA LAGOON AND SPRAYFIELD,01000358001,,,,,,,,,.011,.085,.085,458,,,,458,916,,,,916,AL0070939,Individual Permit,"NOTASULGA, TOWN OF",Macon,Lower Tallapoosa,03150110,3rd Congressional District,AL,4,MAP
ONEONTA WWTP,01000361001,,"$110,640","$3,763,464","$1,130,741",,,,"$5,004,845",1.2,6.6,6.6,"4,500",,"1,150",,"4,500","5,000",,"1,100",,"5,000",AL0049549,Individual Permit,"ONEONTA, UTILITIES BOARD OF",Blount,Locust,03160111,4th Congressional District,AL,4,MAP
PELL CITY DYE CREEK WWTP,01000364001,,"$11,439,640","$13,737,022","$5,388,921",,,,"$30,565,583",1.76,2,4,"3,767",,"4,350",,"3,767","8,118",,"3,900",,"8,118",AL0045993,Individual Permit,Pell City,St. Clair,Middle Coosa,03150106,6th Congressional District,AL,4,MAP
PIEDMONT LAGOON,01000367001,"$6,510,000","$4,340,000","$9,553,200","$2,153,300",,,,"$22,556,500",.46,1.55,3,"4,265",,854,,"4,265","5,120",,48,,"5,120",AL0024376,Individual Permit,PIEDMONT LAGOON,Calhoun,Upper Coosa,03150105,3rd Congressional District,AL,4,MAP
PINE HILL LAGOON,01000369001,,"$728,871",,"$775,895",,,,"$1,504,766",.07,.125,.125,651,,343,,651,831,,338,,831,AL0062731,Individual Permit,"PINE HILL, TOWN OF",Wilcox,Middle Alabama,03150203,7th Congressional District,AL,4,MAP
RAINSVILLE WWTP,01000372001,"$7,300,000","$5,000,000","$8,147,000","$2,379,500",,,,"$22,826,500",.718,1.5,1.5,"1,619",211,"2,879",,"1,830","4,499","2,475",886,,"6,974",AL0042765,Individual Permit,CITY OF RAINSVILLE,DeKalb,Guntersville Lake,06030001,4th Congressional District,AL,4,MAP
Red Bay WWTP,01000374001,"$1,317,000","$10,625,000","$7,937,450","$800,000",,,,"$20,679,450",.94,.78,2.5,"3,648",,,,"3,648","4,698",,,,"4,698",AL0021245,Individual Permit,"RED BAY, CITY OF",Franklin,Bear,06030006,4th Congressional District,AL,4,MAP
Red Eagle Farms WWTP,01000374501,"$3,974,942","$1,987,471","$19,875","$5,942,538",,,,"$11,924,826",.045,.044,1,355,,,,355,900,,,,900,AL0051403,Individual Permit,Red Eagle Farms WWTP,Montgomery,Lower Tallapoosa,03150110,2nd Congressional District,AL,4,MAP
RUSSELLVILLE WWTP,01000380002,"$15,390,000","$12,000,000","$4,965,450","$13,586,000",,,,"$45,941,450",2.624,4.8,4.2,"9,579",,,,"9,579","10,929",,,,"10,929",AL0027987,Individual Permit,"RUSSELLVILLE, WSB",Franklin,Pickwick Lake,06030005,4th Congressional District,AL,4,MAP
RUTLEDGE WASTEWATER LAGOON,01000381001,,,,,,,,,.04,.075,.075,45,,,,45,476,,,,476,AL0062634,Individual Permit,"RUTLEDGE, TOWN OF",Crenshaw,Patsaliga,03140302,2nd Congressional District,AL,4,MAP
SCOTTSBORO SOUTHSIDE WWTP,01000383002,"$4,952,880",,"$13,948,339",,,,,"$18,901,219",3.85,5,15,"10,437",,"4,325",,"10,437","14,762",,"4,001",,"14,762",AL0031372,Individual Permit,"SCOTTSBORO, WSGB",Jackson,Guntersville Lake,06030001,5th Congressional District,AL,4,MAP
SCOTTSBORO GOOSEPOND WWTP,01000383003,,,,,,,,,.02,.06,.06,"10,437",,"4,325",,"10,437","14,762",,"4,137",,"14,762",AL0054461,Individual Permit,"SCOTTSBORO, WSGB",Jackson,Guntersville Lake,06030001,5th Congressional District,AL,4,MAP
SECTION WWTP & COLLECTORS,01000384001,,,,,,,,,.01,.01,.01,79,,689,,79,769,,630,,769,AL0053619,Individual Permit,"SECTION, TOWN OF",Jackson,Guntersville Lake,06030001,5th Congressional District,AL,4,MAP
RED EAGLE HONOR FARM WWTP (DOC),01000385001,"$846,431","$94,048","$18,810","$451,430",,,,"$1,410,719",.038,.044,.15,250,,,,250,"1,157",,,,"1,157",AL0053180,Individual Permit,RED EAGLE HONOR FARM WWTP (DOC),Hale,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
