Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
PERRY STP,12000316001,,,"$26,934,738",,,,,,,,,,,,,,"$26,934,738",,,.85,1.25,1.25,"8,000",,,,"8,000",0,8000,"17,750",,,,"17,750",0,17750,FL0026387,Individual Permit,Perry,Taylor,Econfina-Steinhatchee,03110102,2nd Congressional District,FL,4,MAP
LAKE BUTLER STP,12000317001,,,,,,,,,,,,,,,,,,,,.47,.7,.7,"2,403",,,,"2,403",0,2403,"3,051",,,,"3,051",0,3051,,,"LAKE BUTLER, CITY OF",Union,Santa Fe,03110206,3rd Congressional District,FL,4,MAP
PORT ORANGE WTF,12000322001,,,,,"$5,601,217",,"$23,008,154",,,,,,"$13,466,648",,,,"$42,076,019",,,7,12,12,"55,000",,,,"55,000",0,55000,"75,000",,,,"75,000",0,75000,FL0020559,Individual Permit,"PORT ORANGE, CITY OF",Volusia,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
ST. MARKS STP,12000325001,,,,,,,,,,,,,,,,,,,,.05,.15,.15,500,,,,500,0,500,"1,500",,,,"1,500",0,1500,,,St. Marks,Wakulla,Apalachee Bay-St. Marks,03120001,2nd Congressional District,FL,4,MAP
DeFuniak Springs WWTP,12000327001,,,,,"$8,214,736",,,,,,,,,,,,"$8,214,736",,,.32,.75,.75,"6,398",,,,"6,398",0,6398,"8,147",,,,"8,147",0,8147,,,"DEFUNIAK SPRINGS, CITY OF",Walton,Lower Choctawhatchee,03140203,1st Congressional District,FL,4,MAP
Paxton WWTF,12000328002,,,,,,,,,,,,,,,,,,,,.05,.075,.075,501,,,,501,0,501,750,,,,750,0,750,,,Paxton,Walton,Yellow,03140103,1st Congressional District,FL,4,MAP
CHIPLEY STP,12000330001,,,,,,,,,,,,,,,,,,,,.33,1.2,1.2,"3,719",,,,"3,719",0,3719,"5,000",,,,"5,000",0,5000,,,CHIPLEY,Washington,Lower Choctawhatchee,03140203,2nd Congressional District,FL,4,MAP
VERNON STP,12000332001,,,,,,,,,,,,,,,,,,,,.133,.166,.166,950,,,,950,0,950,"1,350",,,,"1,350",0,1350,,,VERNON,Washington,Lower Choctawhatchee,03140203,2nd Congressional District,FL,4,MAP
WILDWOOD STP,12000340001,,,,,,,,,,,,,,,,,,,,1.5,3.55,3.55,"10,000",,,,"10,000",0,10000,"11,500",,,,"11,500",0,11500,,,"WILDWOOD, CITY OF",Sumter,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
South Hutchinson Island WWTF,12000379002,,,,,,,,,,,,,,,,,,,,.42,1.6,1.6,"4,180",,,,"4,180",0,4180,"9,774",,,,"9,774",0,9774,FL0139475,Individual Permit,ST LUCIE COUNTY,St. Lucie,Everglades,03090202,18th Congressional District,FL,4,MAP
Port St. Lucie Glades WWTF,12000379005,,,,,,,,,,,,,,,,,,,,3.685,6,6,"37,406",,,,"37,406",0,37406,"42,500",,,,"42,500",0,42500,,,Port St. Lucie,St. Lucie,Everglades,03090202,18th Congressional District,FL,4,MAP
Port St. Lucie Westport WWTF,12000379006,,,,,,,,,,,,,,,,,,,,.15,.25,.25,"1,450",,,,"1,450",0,1450,"2,500",,,,"2,500",0,2500,,,Port St. Lucie,St. Lucie,Everglades,03090202,18th Congressional District,FL,4,MAP
Frostproof STP,12000380001,,,,,,,,,,,,,,,,,,,,.07,.08,.08,750,,,,750,0,750,"1,000",,,,"1,000",0,1000,,,Frostproof,Polk,Kissimmee,03090101,17th Congressional District,FL,4,MAP
FREEPORT WWTP,12000382001,,,,,,,,,,,,,,,,,,,,.35,.47,.47,"3,250",,,,"3,250",0,3250,"4,275",,,,"4,275",0,4275,,,Freeport,Walton,Choctawhatchee Bay,03140102,1st Congressional District,FL,4,MAP
CANTERBURY LAKES WWTP,12000383002,,,,,"$411,049",,"$296,157",,,,,,,,,,"$707,206",,,.042,.1,.1,572,,,,572,0,572,750,,,,750,0,750,,,Citrus County,Citrus,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
Citrus Springs WWTF,12000383005,,,,,"$913,442",,"$658,127",,,,,,,,,,"$1,571,569",,,.1,.2,.2,"1,466",,,,"1,466",0,1466,"1,750",,,,"1,750",0,1750,,,Citrus County,Citrus,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
Sugarmills Woods WWTF,12000383006,,,"$145,661",,"$3,197,045",,"$2,304,415",,,,,,,,,,"$5,647,121",,,.48,.5,.5,"9,050",,,,"9,050",0,9050,"10,500",,,,"10,500",0,10500,,,Citrus County,Citrus,Crystal-Pithlachascotee,03100207,11th Congressional District,FL,4,MAP
Point O' Woods WWTF,12000383007,,,,,"$264,898",,"$190,857",,,,,,,,,,"$455,755",,,.02,.058,.058,388,,,,388,0,388,500,,,,500,0,500,,,Citrus County,Citrus,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
Meadowcrest WWTF,12000384001,,,,,"$2,283,602",,"$1,645,317",,,,,,,,,,"$3,928,919",,,.47,.5,.5,"6,450",,,,"6,450",0,6450,"7,500",,,,"7,500",0,7500,,,Citrus County,Citrus,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
Brentwood Regional WWTF,12000385001,,,"$2,913,207",,"$2,283,602",,"$1,645,317",,,,,,,,,,"$6,842,126",,,.34,1.035,1.035,"4,510",,,,"4,510",0,4510,"7,500",,,,"7,500",0,7500,,,Citrus County,Citrus,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
NAVARRE BEACH STP,12000386001,,,,,,,,,,,,,,,,,,,,.54,.9,.9,"2,643",,,,"2,643",0,2643,"5,525",,,,"5,525",0,5525,FL0023981,Individual Permit,SANTA ROSA COUNTY,Santa Rosa,Pensacola Bay,03140105,1st Congressional District,FL,4,MAP
Glen Lakes Subregional WWTP,12000504001,,,,,,,,,,,,,,,,,,,,.85,1,1,"7,200",,,,"7,200",0,7200,"8,000",,,,"8,000",0,8000,,,Hernando County,Hernando,Crystal-Pithlachascotee,03100207,11th Congressional District,FL,4,MAP
Brooksville Cobb Road WWTF,12000504002,,,,,,,,,,,,,,,,,,,,1.1,1.6,1.6,"8,750",,,,"8,750",0,8750,"12,500",,,,"12,500",0,12500,,,Brooksville,Hernando,Crystal-Pithlachascotee,03100207,11th Congressional District,FL,4,MAP
Hernando Airport Subregional WWTF,12000504003,,,"$45,376,395",,,,"$13,823,706",,,,,,"$12,651,396",,,,"$71,851,497",,,.72,.75,4,"5,500",,,,"5,500",0,5500,"29,750",,,,"29,750",0,29750,,,Hernando County,Hernando,Crystal-Pithlachascotee,03100207,11th Congressional District,FL,4,MAP
Hernando County Ridge Manor WWTF,12000504004,,,"$34,995,895",,,,"$3,917,738",,,,,,,,,,"$38,913,633",,,.6,.75,4,"5,250",,,,"5,250",0,5250,"27,750",,,,"27,750",0,27750,,,Hernando County,Hernando,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
ACME STP,12000505001,,,,,,,,,,,,,,,,,,,,3.72,4.75,4.75,"42,530",,,,"42,530",0,42530,"78,500",,,,"78,500",0,78500,,,ACME IMPROVEMENT DISTRICT,Palm Beach,Everglades,03090202,21st Congressional District,FL,4,MAP
Port St. Joe STP,12000506001,,,,,,,,,,,,,,,,,,,,.5,1,1,"3,550","1,500",,,"5,050",0,5050,"4,500","3,250",,,"7,750",0,7750,,,"PORT ST JOE, CITY OF",Gulf,St. Andrew-St. Joseph Bays,03140101,2nd Congressional District,FL,4,MAP
Manatee County North Regional WWTP,12000506004,,,"$6,263,395",,"$7,341,461",,"$1,622,944",,,,,,"$3,357,380",,,,"$18,585,180",,,4.1,5.4,10,"35,000",,,,"35,000",0,35000,"50,000",,,,"50,000",0,50000,,,Manatee County Utilities,Manatee,Manatee,03100202,16th Congressional District,FL,4,MAP
Manatee County SE Regional WWTP,12000506005,,,"$10,779,351",,"$10,767,477",,"$2,380,318",,,,,,"$4,924,159",,,,"$28,851,305",,,5,11,15,"45,000",,,,"45,000",0,45000,"67,750",,,,"67,750",0,67750,,,Manatee County Utilities,Manatee,Manatee,03100202,16th Congressional District,FL,4,MAP
EAST POINT STP,12000506007,,,,,,,,,,,,,,,,,,,,.11,.165,.165,"1,100",,,,"1,100",0,1100,"1,500",,,,"1,500",0,1500,,,EAST POINTWATER & SEWER DISTRICT,Franklin,Apalachicola Bay,03130014,2nd Congressional District,FL,4,MAP
IMMOKALEE WWTP,12000506009,,,"$1,992,144",,"$2,782,032",,,,,,,,,,,,"$4,774,176",,,1.6,2.5,2.5,"11,900",,,,"11,900",0,11900,"15,500",,,,"15,500",0,15500,,,Immokalee Water & Sewer District,Collier,Big Cypress Swamp,03090204,25th Congressional District,FL,4,MAP
WAKULLA COUNTY STP,12000510001,,,"$5,176,927",,,,"$16,210,795",,,,,,,,,,"$21,387,722",,,.4,.6,1.6,"4,000",500,,,"4,500",0,4500,"16,000",600,,,"16,600",0,16600,,,WAKULLA COUNTY,Wakulla,New,03130013,2nd Congressional District,FL,4,MAP
ALACHUA WWTP,12000511001,,,,,,,,,,,,,,,,,,,,.6,.937,.937,"5,500",,,,"5,500",0,5500,"8,000",,,,"8,000",0,8000,,,ALACHUA,Alachua,Santa Fe,03110206,3rd Congressional District,FL,4,MAP
River Oaks AWTP,12000514001,,,"$228,447,636",,"$17,955,556",,"$796,206",,,,,,"$11,754,411",,,,"$258,953,809",,,7.42,10,10,"80,100",,,,"80,100",0,80100,"88,000",,,,"88,000",0,88000,FL0027821,Individual Permit,RIVER OAKS,Hillsborough,Tampa Bay,03100206,14th Congressional District,FL,4,MAP
Van Dyke WWTP,12000515001,,,"$1,378,571",,"$2,607,147",,"$115,609",,,,,,"$1,706,740",,,,"$5,808,067",,,.99,1.5,1.5,"8,100",,,,"8,100",0,8100,"10,750",,,,"10,750",0,10750,,,HILLSBOROUGH COUNTY UTILI,Hillsborough,Tampa Bay,03100206,12th Congressional District,FL,4,MAP
VALRICO REGIONAL STP,12000516001,,,"$131,967,459",,"$10,773,333",,"$477,724",,,,,,"$7,052,646",,,,"$150,271,162",,,3.4,6,6,"41,000",,,,"41,000",0,41000,"50,000",,,,"50,000",0,50000,FL0040983,Individual Permit,Hillsborough County,Hillsborough,Hillsborough,03100205,15th Congressional District,FL,4,MAP
Northwest AWTP,12000520002,,,"$2,167,565",,"$8,690,489",,"$385,364",,,,,,"$5,689,134",,,,"$16,932,552",,,4,5,5,"45,000",,,,"45,000",0,45000,"55,000",,,,"55,000",0,55000,FL0041670,Individual Permit,Hillsborough County,Hillsborough,Tampa Bay,03100206,12th Congressional District,FL,4,MAP
Macon POPLAR STREET WPCP,13000003001,,,,,,,,,,,,,,,,,,,,13.1,20,20,"86,782",,,,"86,782",0,86782,"104,774",,,,"104,774",0,104774,GA0024538,Individual Permit,MACON-BIBB CO. WSA,Bibb,Upper Ocmulgee,03070103,2nd Congressional District,GA,4,MAP
Macon ROCKY CREEK WPCP,13000003002,,,,,,,,,,,,,,,,,,,,18.04,24,24,"62,559",250,,,"62,809",0,62809,"104,447",250,,,"104,697",0,104697,GA0024546,Individual Permit,MACON-BIBB CO. WSA,Bibb,Upper Ocmulgee,03070103,2nd Congressional District,GA,4,MAP
NORTHEAST CLAYTON WPCP,13000006011,,,"$6,256,923",,,,,,,,,,,,,,"$6,256,923",,,4.16,6,6,"27,568",,,,"27,568",0,27568,"43,205",,,,"43,205",0,43205,GA0020575,Individual Permit,Clayton County Water Authority,Clayton,Upper Ocmulgee,03070103,13th Congressional District,GA,4,MAP
SHOAL CREEK WPC PLANT,13000006016,,,"$11,737,500",,,,,,,,,,,,,,"$11,737,500",,,1.9,2.25,3.5,"3,562",,,,"3,562",0,3562,"11,075",,,,"11,075",0,11075,,,City of Griffin,Spalding,Upper Flint,03130005,3rd Congressional District,GA,4,MAP
UTOY CREEK WWTP,13000012001,,,,,,,,,,,,,,,,,,,,32.314,40,40,"134,333","18,208",,,"152,541",0,152541,"134,332","31,422",,,"165,754",0,165754,GA0039012,Individual Permit,ATLANTA PUBLIC WORKS DEPA,Fulton,Middle Chattahoochee-Lake Harding,03130002,5th Congressional District,GA,4,MAP
INTRENCHMENT CREEK WWTP,13000012002,,,,,,,,,,,,,,,,,,,,14.57,20,20,"92,021",,,,"92,021",92021,0,"111,885",,,,"111,885",111885,0,,,ATLANTA PUBLIC WORKS DEPT,DeKalb,Upper Ocmulgee,03070103,5th Congressional District,GA,4,MAP
SOUTH RIVER WWTP,13000012003,,,,,,,,,,,,,,,,,,,,32.26,41,41,"64,693","893,061",,,"957,754",0,957754,"64,693","1,071,398",,,"1,136,091",0,1136091,GA0039012,Individual Permit,ATLANTA PUBLIC WORKS DEPA,Fulton,Middle Chattahooche,03130003,5th Congressional District,GA,4,MAP
R M CLAYTON WPCP,13000012004,,,,,,,"$14,074,786",,,,,,,,,,"$14,074,786",,,87.52,100,100,,"461,635",,,"461,635",0,461635,,"502,319",,,"502,319",0,502319,GA0039012,Individual Permit,Atlanta Department of Watershed Management,Fulton,Middle Chattahoochee-Lake Harding,03130002,5th Congressional District,GA,4,MAP
BIG CR WPCP,13000016001,,,"$267,802,942",,,,,,,,,,,,,,"$267,802,942",,,19.58,24,38,"75,000","16,092",,,"91,092",0,91092,"95,000","71,707",,,"166,707",0,166707,GA0024333,Individual Permit,Fulton County,Fulton,Upper Chattahoochee,03130001,6th Congressional District,GA,4,MAP
LITTLE RIVER WPCP,13000016004,,,,,,,,,,,,,,,,,,,,.69,1,1,"2,791",,,,"2,791",0,2791,"3,478",,,,"3,478",0,3478,GA0033251,Individual Permit,FULTON CO BD OF COMMISSIO,Fulton,Etowah,03150104,5th Congressional District,GA,4,MAP
JOHNS CREEK WPCP,13000016005,,,,,,,,,,,,,,,,,,,,3.7,7,7,"9,916",,,,"9,916",0,9916,"47,091",,,,"47,091",0,47091,GA0038831,Individual Permit,FULTON CO BD OF COMMISSIO,Fulton,Upper Chattahoochee,03130001,6th Congressional District,GA,4,MAP
FULTON CO-CAMP CREEK WPCP,13000016010,,,,,,,,,,,,,,,,,,,,10.07,13,13,"33,066","40,440",,,"73,506",0,73506,"125,431","101,403",,,"226,834",0,226834,GA0025381,Individual Permit,FULTON CO BD OF COMMISSIO,Fulton,Middle Chattahoochee-Lake Harding,03130002,13th Congressional District,GA,4,MAP
PALMETTO WPCP,13000018001,,,,,,,,,,,,,,,,,,,,.44,.6,,"2,234",,,,"2,234",2234,0,"5,990",,,,"5,990",5990,0,,,"PALMETTO, CITY OF",Fulton,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
COBB CO. - SO. COBB WPCP,13000022001,,,,"$5,346,396",,,,,,,,,,,,,,"$5,346,396",,20.44,40,40,"135,112",,,,"135,112",0,135112,"158,891",,,,"158,891",0,158891,GA0026158,Individual Permit,COBB COUNTY WATER AND SEW,Cobb,Middle Chattahoochee-Lake Harding,03130002,13th Congressional District,GA,4,MAP
COBB COUNTY SUTTON WPCP,13000022002,,,,"$8,592,315",,,,,,,,,,,,,,"$8,592,315",,31.84,40,80,"212,308",,,,"212,308",0,212308,"540,763",,,,"540,763",0,540763,GA0026140,Individual Permit,COBB COUNTY WATER & SEWER,Cobb,Upper Chattahoochee,03130001,11th Congressional District,GA,4,MAP
COBB NOONDAY CREEK WPCP,13000022003,,,,"$1,678,958",,,,,,,,,,,,,,"$1,678,958",,8.75,12,12,"53,391","6,923",,,"60,314",0,60314,"117,396","17,617",,,"135,013",0,135013,GA0024988,Individual Permit,COBB COUNTY WATER AND SEW,Cobb,Etowah,03150104,6th Congressional District,GA,4,MAP
COBB CO - NORTHWEST WPCP,13000022028,,,,"$2,298,197",,,,,,,,,,,,,,"$2,298,197",,5.9,12,12,"3,832",,,,"3,832",0,3832,"5,000",,,,"5,000",0,5000,GA0046761,Individual Permit,COBB COUNTY WATER AND SEW,Cherokee,Etowah,03150104,11th Congressional District,GA,4,MAP
DEKALB CO - POLEBRIDGE CR WPCP,13000031002,,,"$592,903,273",,"$74,984,824",,,,,,,,,,,,"$667,888,097",,,8,20,40,"75,451","6,476",,,"81,927",0,81927,"75,451","28,165",,,"103,616",0,103616,GA0026816,Individual Permit,Dekalb County,DeKalb,Upper Ocmulgee,03070103,4th Congressional District,GA,4,MAP
DEKALB CO-SNAPFINGER CR WPCP,13000031004,,,"$273,883,155",,,,"$226,002,591",,,,,,,,,,"$499,885,746",,,25,36,70,"310,406","40,287",,,"350,693",0,350693,"310,406","40,287",,,"350,693",0,350693,GA0024147,Individual Permit,DEKALB CO WATER AND SEWER,DeKalb,Upper Ocmulgee,03070103,4th Congressional District,GA,4,MAP
BUFORD SOUTHSIDE,13000036001,,,"$10,734,333",,,,,,,,,,,,,,"$10,734,333",,,.87,2,3,"5,328","1,004",,,"6,332",0,6332,"24,123","1,907",,,"26,030",0,26030,GA0023167,Individual Permit,Buford,Gwinnett,Upper Chattahoochee,03130001,7th Congressional District,GA,4,MAP
BUFORD WESTSIDE CS,13000036002,,,,,,,,,,,,,,,,,,,,.1,.25,,"1,004",,,,"1,004",1004,0,"1,907",,,,"1,907",1907,0,GA0023175,Individual Permit,"BUFORD, CITY OF",Gwinnett,Upper Chattahoochee,03130001,7th Congressional District,GA,4,MAP
GWINNETT CROOKED CREEK STP,13000040004,,,,,,,,,,,,,,,,,,,,14.13,16,16,"59,950","2,121",,,"62,071",0,62071,"59,950","3,927",,,"63,877",0,63877,GA0026433,Individual Permit,GWINNETT COUNTY WATER POL,Gwinnett,Upper Chattahoochee,03130001,7th Congressional District,GA,4,MAP
GWINNETT JACKSON CR WPCP,13000040005,,,,,,,,,,,,,,,,,,,,2.81,3,3,"18,756",,,,"18,756",0,18756,"25,619",,,,"25,619",0,25619,GA0026433,Individual Permit,GWINNETT COUNTY WATER POL,Gwinnett,Upper Ocmulgee,03070103,7th Congressional District,GA,4,MAP
GWINNETT YELLOW/SWEET WPCP,13000040006,,,,,,,,,,,,,,,,,,,,10.9,12,22,"110,000",,,,"110,000",0,110000,"170,000",,,,"170,000",0,170000,GA0047911,Individual Permit,GWINNETT COUNTY WATER POL,Gwinnett,Upper Ocmulgee,03070103,7th Congressional District,GA,4,MAP
GWINNETT CO BEAVER/SWEETWATER,13000040022,,,,,,,,,,,,,,,,,,,,4.22,4.5,4.5,"20,365",,,,"20,365",0,20365,"27,435",,,,"27,435",0,27435,GA0026433,Individual Permit,GWINNETT CO WPC DEPT,Gwinnett,Upper Ocmulgee,03070103,7th Congressional District,GA,4,MAP
WALKER COUNTY WPCP,13000047001,,,,,,,,,,,,,,,,,,,,1.91,3.5,3.5,621,,,,621,0,621,"13,357",,,,"13,357",0,13357,GA0020478,Individual Permit,WALKER COUNTY,Walker,Middle Tennessee-Chickamauga,06020001,14th Congressional District,GA,4,MAP
LAFAYETTE WPCP,13000050001,,,,,"$1,070,460",,,,,,,,,,,,"$1,070,460",,,3.09,3.5,3.5,"6,517",,,,"6,517",0,6517,"17,863",,,,"17,863",0,17863,GA0025712,Individual Permit,"LAFAYETTE, CITY OF",Walker,Upper Coosa,03150105,14th Congressional District,GA,4,MAP
SOUTH COLUMBUS WPCP,13000051001,,,,"$11,343,800",,,,,,,,,,,,,,"$11,343,800",,30,42,42,"236,835","1,787",,,"238,622",0,238622,"208,733","2,845",,,"211,578",0,211578,GA0020516,Individual Permit,COLUMBUS BD OF WAT COMM.,Muscogee,Middle Chattahooche,03130003,2nd Congressional District,GA,4,MAP
ALBANY  Joshua Road WPCP,13000053001,,,,,,,,,,,,,,,,,,,,19.09,30,30,"78,804",,,,"78,804",0,78804,"90,000",,,,"90,000",0,90000,GA0037222,Individual Permit,"ALBANY, CITY OF",Dougherty,Lower Flint,03130008,2nd Congressional District,GA,4,MAP
AUGUSTA WWTP,13000054001,,,,,,,,,,,,,,,,,,,,30.64,46.1,46.1,"189,469","155,807",,,"345,276",0,345276,"189,719","164,386",,,"354,105",0,354105,GA0037621,Individual Permit,"AUGUSTA, CITY COUNCIL OF",Richmond,Middle Savannah,03060106,12th Congressional District,GA,4,MAP
GARDEN CITY WPCP,13000059001,,,,,,,"$487,846",,,,,,,,,,"$487,846",,,.99,2,2,"6,462",,,,"6,462",0,6462,"7,631",,,,"7,631",0,7631,GA0031038,Individual Permit,Garden City,Chatham,Lower Savannah,03060109,1st Congressional District,GA,4,MAP
POOLER/BLOOMINGDALE WPCP,13000060001,,,,,,,,,,,,,,,,,,,,.61,2,2,"5,193",,,,"5,193",0,5193,"14,697",,,,"14,697",0,14697,GA0047066,Individual Permit,"POOLER, TOWN OF",Chatham,Lower Savannah,03060109,1st Congressional District,GA,4,MAP
PORT WENTWORTH WPCP,13000061001,,,,,,,,,,,,,,,,,,,,.8,2,2,"8,326",,,,"8,326",0,8326,"22,626",,,,"22,626",0,22626,GA0038814,Individual Permit,Port Wentworth,Chatham,Lower Savannah,03060109,1st Congressional District,GA,4,MAP
PRESIDENT STREET WPCP,13000062001,,,,,,,,,,,,,,,,,,,,17.68,27,27,"134,494","3,741",,,"138,235",0,138235,"143,307","4,454",,,"147,761",0,147761,GA0025348,Individual Permit,"SAVANNAH, CITY OF",Chatham,Lower Savannah,03060109,1st Congressional District,GA,4,MAP
Savannah WILSHIRE - WINDSOR WPCP,13000062002,,,,,,,,,,,,,,,,,,,,2.5,4.5,4.5,"22,741",,,,"22,741",0,22741,"25,634",,,,"25,634",0,25634,GA0020443,Individual Permit,"SAVANNAH, CITY OF",Chatham,Ogeechee Coastal,03060204,1st Congressional District,GA,4,MAP
Savannah TRAVIS FIELD WPCP,13000062005,,,,,,,,,,,,,,,,,,,,.84,1,1,334,,,,334,0,334,"5,441",,,,"5,441",0,5441,GA0020427,Individual Permit,"SAVANNAH, CITY OF",Chatham,Lower Savannah,03060109,1st Congressional District,GA,4,MAP
Savannah Crossroads WPCP,13000062008,,,,,,,,,,,,,,,,,,,,1.89,3,3,"9,580",,,,"9,580",0,9580,"23,000",,,,"23,000",0,23000,GA0038326,Individual Permit,City of Savannah,Chatham,Lower Savannah,03060109,1st Congressional District,GA,4,MAP
BACONTON WPCP,13000071001,,,,,,,,,,,,,,,,,,,,.04,.1,.1,892,,,,892,0,892,892,,,,892,0,892,GA0037737,Individual Permit,"BACONTON, CITY OF",Mitchell,Lower Flint,03130008,2nd Congressional District,GA,4,MAP
BAXLEY (LAS),13000073001,,,,,,,,,,,,,,,,,,,,.98,1.4,1.4,"6,527",,"1,895",,"6,527",0,6527,"8,424",,"1,787",,"8,424",0,8424,,,"BAXLEY, CITY OF",Appling,Little Satilla,03070202,12th Congressional District,GA,4,MAP
BLAKELY WPCP,13000075004,,,,,,,,,,,,,,,,,,,,.65,1.315,1.315,"6,239",741,307,,"6,980",0,6980,"6,239",896,307,,"7,135",0,7135,GA0025585,Individual Permit,"BLAKELY, CITY OF",Early,Spring,03130010,2nd Congressional District,GA,4,MAP
BOSTON WPCP,13000078003,,,,,,,,,,,,,,,,,,,,.15,.213,.213,,"1,644",,,"1,644",0,1644,,"1,945",,,"1,945",0,1945,GA0033715,Individual Permit,"BOSTON, CITY OF",Thomas,Aucilla,03110103,8th Congressional District,GA,4,MAP
BOWMAN POND,13000080001,,,,,,,,,,,,,,,,,,,,.08,.09,.09,606,,,,606,0,606,"1,142",,,,"1,142",0,1142,GA0021067,Individual Permit,BOWMAN WATER & SEWER DEPT,Elbert,Broad,03060104,9th Congressional District,GA,4,MAP
BUCHANAN WWTP,13000081001,,,,,,,,,,,,,,,,,,,,.18,.17,.17,747,,,,747,0,747,"1,570",,,,"1,570",0,1570,GA0021512,Individual Permit,"BUCHANAN, CITY OF",Haralson,Upper Tallapoosa,03150108,14th Congressional District,GA,4,MAP
BYROMVILLE POND,13000083001,,,,,,,,,,,,,,,,,,,,.08,.11,.11,467,,,,467,0,467,560,,,,560,0,560,GA0025623,Individual Permit,"BYROMVILLE, TOWN OF",Dooly,Middle Flint,03130006,2nd Congressional District,GA,4,MAP
CALHOUN WPCP,13000084001,,,"$24,140,828",,,,,,,,,,,,,,"$24,140,828",,,10.04,16,16,"7,021",,,,"7,021",0,7021,"21,321",815,,,"22,136",0,22136,GA0030333,Individual Permit,Calhoun,Gordon,Oostanaula,03150103,14th Congressional District,GA,4,MAP
CLARKESVILLE WPCP,13000087001,,,,,,,,,,,,,,,,,,,,.23,.75,.75,"1,985",,,,"1,985",0,1985,"3,007",,,,"3,007",0,3007,GA0032514,Individual Permit,"CLARKESVILLE, CITY OF",Habersham,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
CLAXTON LAS,13000088001,,,,,,,,,,,,,,,,,,,,.26,.52,.52,"3,171",,,,"3,171",0,3171,"7,732",,,,"7,732",0,7732,,,"CLAXTON, CITY OF",Evans,Canoochee,03060203,12th Congressional District,GA,4,MAP
COCHRAN WWTP,13000091001,,,,,,,,,,,,,,,,,,,,.43,.6,.6,"6,551",,,,"6,551",0,6551,"7,294",,,,"7,294",0,7294,GA0032107,Individual Permit,"COCHRAN, CITY OF",Bleckley,Lower Ocmulgee,03070104,8th Congressional District,GA,4,MAP
COLLINS WPCP,13000092001,"$1,338,016",,,,,,,,,,,,,,,,"$1,338,016",,,.04,.06,.06,640,,,,640,0,640,672,,,,672,0,672,GA0021091,Individual Permit,"COLLINS, CITY OF",Tattnall,Ohoopee,03070107,12th Congressional District,GA,4,MAP
COLQUITT WPCP,13000093001,,,,,,,,,,,,,,,,,,,,.47,.4,.4,"2,318",,,,"2,318",0,2318,"3,058",,,,"3,058",0,3058,GA0047252,Individual Permit,"COLQUITT, CITY OF",Miller,Spring,03130010,2nd Congressional District,GA,4,MAP
CRAWFORDVILLE WPCP,13000095001,,,,,,,,,,,,,,,,,,,,.04,.1,.1,820,,,,820,0,820,921,,,,921,0,921,GA0020915,Individual Permit,"CRAWFORDVILLE, CITY OF",Taliaferro,Upper Ogeechee,03060201,10th Congressional District,GA,4,MAP
CUTHBERT POND,13000096001,,,,,,,,,,,,,,,,,,,,.42,.6,.6,"4,249",,,,"4,249",0,4249,"6,291",,,,"6,291",0,6291,GA0037249,Individual Permit,"CUTHBERT, CITY OF",Randolph,Ichawaynochaway,03130009,2nd Congressional District,GA,4,MAP
DARIEN WPCP,13000098001,,,,,,,,,,,,,,,,,,,,.2,.74,.6,"1,783",,,,"1,783",0,1783,"1,783",,,,"1,783",0,1783,GA0033529,Individual Permit,"DARIEN, CITY OF",McIntosh,Ogeechee Coastal,03060204,1st Congressional District,GA,4,MAP
Eastman Sugar Cr WPCP,13000104003,,,,,,,,,,,,,,,,,,,,.67,.9,.9,"5,808",,,,"5,808",0,5808,"8,843",,,,"8,843",0,8843,GA0046485,Individual Permit,Eastman,Dodge,Little,03060105,8th Congressional District,GA,4,MAP
